id,lat,lng,placeCount,place
215,15.322858721525252,102.66520902540856,5,school|establishment|point_of_interest
270,15.187960484654461,102.72097204510499,2,school|establishment|point_of_interest
271,15.187960484654461,102.74892994406014,2,school|establishment|point_of_interest
277,15.187960484654461,103.47583531689406,5,establishment|point_of_interest|hospital
288,15.16098083727969,103.47570130754627,9,establishment|point_of_interest|hospital
298,15.134001189904708,103.36376452960553,9,establishment|point_of_interest|hospital
308,15.107021542529525,103.47543408858053,4,school|establishment|point_of_interest
309,15.107021542529525,103.50338128797182,1,local_government_office|establishment|point_of_interest
316,15.080041895154137,103.47530087864402,11,establishment|point_of_interest|hospital
414,14.837225068766521,102.49719411694844,2,school|establishment|point_of_interest
426,14.81024542138912,102.44136838766997,7,school|establishment|point_of_interest
427,14.81024542138912,102.58091095571376,2,school|establishment|point_of_interest
435,14.783265774011507,102.52508176959736,2,establishment|point_of_interest|hospital
447,14.756286126633706,102.46926649195518,2,school|establishment|point_of_interest
448,14.756286126633706,102.49716806366519,1,school|establishment|point_of_interest
449,14.756286126633706,102.55297120708519,1,bakery|establishment|store|point_of_interest|food
458,14.729306479255706,102.44136319181735,2,school|establishment|point_of_interest
469,14.702326831877503,102.4413614669096,13,school|establishment|point_of_interest
470,14.702326831877503,102.46925612490782,18,school|establishment|point_of_interest
471,14.702326831877503,102.55294009890247,22,establishment|point_of_interest|hospital
472,14.702326831877503,102.58083475690069,1,school|establishment|point_of_interest
484,14.675347184499106,102.55292459232817,32,establishment|point_of_interest|hospital
498,14.64836753712051,102.55290911740701,2,establishment|point_of_interest|hospital
612,14.432530358084698,103.33288076573206,6,establishment|point_of_interest|hospital
630,14.405550710704349,103.30491390805105,8,school|establishment|point_of_interest
652,14.351591415943073,103.44395389384977,1,school|establishment|point_of_interest
667,14.297632121181028,103.36017812390423,2,school|establishment|point_of_interest
674,14.270652473799721,103.36006619508203,1,school|establishment|point_of_interest
677,14.243672826418221,102.94239912724186,2,establishment|point_of_interest|hospital
687,14.21669317903653,103.16500715511222,1,school|premise|establishment
692,14.189713531654652,103.30407105518736,1,school|establishment|point_of_interest
693,14.162733884272582,102.66394421629275,1,establishment|point_of_interest|hospital
694,14.162733884272582,102.94221485559024,1,school|establishment|point_of_interest
695,14.162733884272582,102.9700419195201,1,school|establishment|point_of_interest
696,14.162733884272582,103.27613962274722,5,school|establishment|point_of_interest
697,14.162733884272582,103.30396668667697,2,school|establishment|point_of_interest
700,14.135754236890325,102.9421536892296,1,school|establishment|point_of_interest
