id,lat,lon,placeCount,place,address
1,15.781512726846858,102.86200812803304,1,school|establishment|point_of_interest,"Rural Rd, Tambon Don Du, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
2,15.781512726846858,103.00219976072401,3,school|establishment|point_of_interest,"Hak Noi-don Kloi Rd, Tambon Nong Mek, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
3,15.781512726846858,103.0302380872622,34,establishment|point_of_interest|hospital,"ถนนนาเชือก-พยัฆภูมพิสัย Tambon Na Chueak, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
5,15.781512726846858,103.28258302610595,1,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Nong Khu, Amphoe Na Dun, Chang Wat Maha Sarakham 44120, Thailand"
7,15.781512726846858,103.47885131187331,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Du Noi, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand"
8,15.781512726846858,103.50688963841151,6,establishment|point_of_interest|hospital,"Unnamed Road, Tambon I Ngong, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand"
9,15.754533079476698,102.55356974767813,7,school|establishment|point_of_interest,"2246, Tambon Nong Makhuea, Amphoe Phon, Chang Wat Khon Kaen 40120, Thailand"
12,15.754533079476698,102.69374272455048,5,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Han Chot, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
13,15.754533079476698,102.72177731992497,7,school|establishment|point_of_interest,"Unnamed Road, Tambon Han Chot, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
16,15.754533079476698,103.0021232736699,2,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Nong Mek, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
18,15.754533079476698,103.08622705979337,2,school|establishment|point_of_interest,"Unnamed Road, Tambon San Pa Tong, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
19,15.754533079476698,103.14229625054236,4,school|establishment|point_of_interest,"2381, Tambon Nong Pho, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
20,15.754533079476698,103.17033084591685,6,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Dong Duan, Amphoe Na Dun, Chang Wat Maha Sarakham 44170, Thailand"
21,15.754533079476698,103.19836544129134,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Dong Duan, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
23,15.754533079476698,103.39460760891279,5,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Pho Chai, Amphoe Wapi Pathum, Chang Wat Maha Sarakham 44120, Thailand"
24,15.72755343210632,102.46946037742089,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Sa-nga, Amphoe Phon, Chang Wat Khon Kaen 40120, Thailand"
29,15.72755343210632,102.86189257727415,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Nong Pai Lom, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
30,15.72755343210632,102.97401606294648,2,supermarket|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Ban Du, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
31,15.72755343210632,103.00204693436456,1,supermarket|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Ban Du, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
32,15.72755343210632,103.05810867720072,5,establishment|point_of_interest|hospital,"ถนนนาเชือก-พยัฆภูมพิสัย Tambon Nong Kung, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
33,15.72755343210632,103.0861395486188,4,school|establishment|point_of_interest,"Moo 3, Tambon San Pa Tong, Amphoe Na Chueak, Maha Sarakham, 44170, Thailand"
34,15.72755343210632,103.2262939057091,24,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Na Dun, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
38,15.72755343210632,103.45054087705398,1,school|establishment|point_of_interest,"รอ.3006 Tambon Ban Fang, Amphoe Kaset Wisai, Chang Wat Roi Et 45150, Thailand"
40,15.700573784735738,102.86183496939532,4,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Takua Pa, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
41,15.700573784735738,102.97394358805388,10,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Ban Du, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
42,15.700573784735738,103.00197074271853,1,establishment|store|point_of_interest,"Unnamed Road, Tambon Ban Du, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
43,15.700573784735738,103.19816082537102,1,pharmacy|health|establishment|store|point_of_interest,"Unnamed Road, Tambon Hua Dong, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
44,15.700573784735738,103.22618798003566,20,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Phra That, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
47,15.673594137364933,102.52549613177553,8,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Mueang Phalai, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
48,15.673594137364933,102.55351957688515,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Mueang Phalai, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
49,15.673594137364933,102.66561335732365,6,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Phet, Amphoe Prathai, Chang Wat Nakhon Ratchasima 30180, Thailand"
50,15.673594137364933,102.77770713776215,5,school|establishment|point_of_interest,"Unnamed Road, Tambon Nong Song Hong, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
52,15.673594137364933,103.00189469863915,4,establishment|point_of_interest|hospital,"120 หมู่10 นาภู ยางสีสุราช Maha Sarakham 44210, Thailand"
53,15.673594137364933,103.02991814374877,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Na Phu, Amphoe Yang Sisurat, Chang Wat Maha Sarakham 44210, Thailand"
54,15.673594137364933,103.0579415888584,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Na Phu, Amphoe Yang Sisurat, Chang Wat Maha Sarakham 44210, Thailand"
57,15.673594137364933,103.17003536929678,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Ban Ku, Amphoe Yang Sisurat, Chang Wat Maha Sarakham 44210, Thailand"
58,15.673594137364933,103.19805881440641,3,establishment|point_of_interest|hospital,"มค.3027 Tambon Hua Dong, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
59,15.673594137364933,103.22608225951603,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Phra That, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
