id,lat,lng,placeCount,place
2,15.781512726846858,103.00219976072401,3,school|establishment|point_of_interest
3,15.781512726846858,103.0302380872622,34,electronics_store|establishment|point_of_interest|store|hospital
5,15.781512726846858,103.28258302610595,1,establishment|point_of_interest|hospital
7,15.781512726846858,103.47885131187331,3,school|establishment|store|point_of_interest|food
18,15.754533079476698,103.08622705979337,2,school|establishment|point_of_interest
24,15.72755343210632,102.46946037742089,3,school|establishment|store|point_of_interest|grocery_or_supermarket|food
33,15.72755343210632,103.0861395486188,4,school|establishment|point_of_interest
47,15.673594137364933,102.52549613177553,8,florist|establishment|store|point_of_interest|hospital
48,15.673594137364933,102.55351957688515,3,furniture_store|school|establishment|home_goods_store|store|point_of_interest
49,15.673594137364933,102.66561335732365,6,school|establishment|store|point_of_interest
63,15.646614489993912,102.63756214630212,2,school|establishment|point_of_interest|store|grocery_or_supermarket|food
73,15.646614489993912,103.45013468600484,4,furniture_store|establishment|point_of_interest|home_goods_store|store|hospital
76,15.619634842622684,102.60951838673316,8,school|establishment|point_of_interest|store
80,15.619634842622684,103.05777514795807,6,school|establishment|point_of_interest
81,15.619634842622684,103.08579119553463,1,establishment|point_of_interest|hospital
86,15.619634842622684,103.39396771887664,1,establishment|store|point_of_interest|grocery_or_supermarket|food
90,15.592655195251242,102.58148205702321,5,school|establishment|point_of_interest|store|food
94,15.592655195251242,103.05769217004536,2,school|establishment|point_of_interest|store|grocery_or_supermarket|food
111,15.56567554787959,103.39371349909061,1,establishment|store|point_of_interest|grocery_or_supermarket|food
137,15.484736605763363,102.74938739956656,9,school|establishment|point_of_interest|store|grocery_or_supermarket|food
139,15.484736605763363,102.91737347597518,9,school|establishment|point_of_interest|store|grocery_or_supermarket|food
140,15.484736605763363,102.97336883477806,5,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food
144,15.484736605763363,103.33733866699617,2,school|establishment|point_of_interest
148,15.45775695839087,102.46940512914807,3,school|establishment|point_of_interest|store|grocery_or_supermarket|food
149,15.45775695839087,102.55338721096405,5,school|establishment|point_of_interest|store|grocery_or_supermarket|food
154,15.45775695839087,103.08527372913261,2,school|establishment|point_of_interest
161,15.45775695839087,103.36521400185302,1,establishment|point_of_interest|hospital
162,15.45775695839087,103.449196083669,3,school|establishment|point_of_interest|store
164,15.430777311018163,102.60935157498409,4,school|establishment|point_of_interest|store
165,15.430777311018163,102.637341957285,4,school|establishment|point_of_interest|store
166,15.430777311018163,102.69332272188683,5,school|establishment|point_of_interest
167,15.430777311018163,102.72131310418763,1,school|establishment|point_of_interest
168,15.430777311018163,102.86126501569197,1,school|establishment|point_of_interest
169,15.430777311018163,102.88925539799277,19,supermarket|school|establishment|store|point_of_interest|grocery_or_supermarket|food
170,15.430777311018163,102.91724578029368,8,establishment|point_of_interest|hospital
171,15.430777311018163,102.97322654489528,3,school|establishment|store|point_of_interest
176,15.430777311018163,103.36509189710705,2,establishment|point_of_interest|hospital
179,15.403797663645244,102.60932793095878,2,school|city_hall|local_government_office|establishment|point_of_interest
180,15.403797663645244,102.69328816440941,7,school|establishment|point_of_interest|store|food
181,15.403797663645244,102.72127490889295,5,school|establishment|point_of_interest|store
188,15.403797663645244,103.3929567764975,1,school|establishment|point_of_interest
193,15.376818016272127,103.11300038208162,2,school|establishment|point_of_interest|store|grocery_or_supermarket|food
196,15.376818016272127,103.33686529260547,12,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food
200,15.349838368898796,102.6092807822888,4,school|establishment|point_of_interest|store|grocery_or_supermarket|food
201,15.349838368898796,102.63726027258144,6,school|establishment|point_of_interest|store
210,15.349838368898796,103.33674752989441,7,establishment|store|point_of_interest|hospital
214,15.322858721525252,102.63723315149832,7,school|establishment|point_of_interest|store|grocery_or_supermarket|food
215,15.322858721525252,102.66520902540856,5,school|establishment|point_of_interest|store
224,15.295879074151507,102.80503967191976,1,school|establishment|point_of_interest
225,15.295879074151507,102.8609842012479,11,establishment|point_of_interest|store|hospital|food
226,15.295879074151507,103.0847623185607,1,school|establishment|point_of_interest
239,15.268899426777557,103.08467767066008,1,school|establishment|point_of_interest
248,15.241919779403396,102.74901237949518,13,establishment|point_of_interest|store|hospital
249,15.241919779403396,102.80494251462176,3,school|establishment|point_of_interest|store
256,15.241919779403396,103.36424386588749,4,school|establishment|point_of_interest|store|grocery_or_supermarket|food
257,15.241919779403396,103.42017400101406,2,school|establishment|point_of_interest
258,15.241919779403396,103.44813906857735,3,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food
267,15.214940132029035,103.36412367424043,3,school|establishment|point_of_interest|store|grocery_or_supermarket|food
269,15.187960484654461,102.58118255032923,2,establishment|store|point_of_interest
272,15.187960484654461,102.80484574197044,1,school|establishment|point_of_interest
273,15.187960484654461,102.88871943883589,2,school|establishment|point_of_interest
275,15.187960484654461,103.19625632734255,4,establishment|point_of_interest|store|hospital|car_repair
