id,lat,lng,placeCount,place
2,15.80012072628986,101.3069241340902,2,establishment|home_goods_store|store|point_of_interest
3,15.80012072628986,101.44712865480426,1,establishment|store|point_of_interest
4,15.80012072628986,101.5312513672327,1,school|establishment|point_of_interest
5,15.80012072628986,101.58733317551832,1,school|establishment|point_of_interest
19,15.80012072628986,102.90525567023087,4,school|establishment|point_of_interest
21,15.773141078919853,101.53120466731866,5,establishment|point_of_interest|hospital
23,15.773141078919853,101.64335333934059,1,school|establishment|point_of_interest
34,15.773141078919853,102.62465421953357,5,establishment|point_of_interest|hospital
35,15.773141078919853,102.65269138753911,3,cafe|establishment|store|point_of_interest|food
53,15.746161431549625,102.62446218160107,3,establishment|store|point_of_interest
54,15.746161431549625,102.6524956206797,1,school|establishment|point_of_interest
59,15.71918178417919,101.44702238575167,1,school|establishment|point_of_interest
72,15.692202136808534,101.2788310825863,7,establishment|point_of_interest|hospital
88,15.692202136808534,102.5960532159952,3,school|establishment|point_of_interest
110,15.63824284206658,101.41889813702892,1,school|establishment|point_of_interest
116,15.63824284206658,102.62369773863247,1,establishment|store|point_of_interest
121,15.611263194695283,101.19474752926487,8,school|establishment|point_of_interest
122,15.611263194695283,101.41886674881903,7,school|establishment|point_of_interest
134,15.611263194695283,102.59549265147871,3,school|establishment|point_of_interest
141,15.584283547323787,101.22275690486617,1,pharmacy|health|establishment|store|point_of_interest
142,15.584283547323787,101.58690272178228,2,school|establishment|point_of_interest
143,15.584283547323787,101.64292515515399,2,school|establishment|point_of_interest
153,15.557303899952064,101.44681169364219,6,establishment|point_of_interest|hospital
157,15.557303899952064,102.28703783683443,1,school|establishment|point_of_interest
164,15.530324252580138,101.19474201677474,10,establishment|point_of_interest|hospital
165,15.530324252580138,101.25074975017799,2,school|establishment|point_of_interest
166,15.530324252580138,101.47478068379098,2,school|establishment|point_of_interest
168,15.530324252580138,101.89483868431535,9,school|establishment|point_of_interest
169,15.530324252580138,102.00685415112184,2,establishment|point_of_interest|hospital
170,15.530324252580138,102.17487735133159,5,school|establishment|point_of_interest
175,15.503344605207992,101.19474018644883,6,school|establishment|point_of_interest
176,15.503344605207992,101.25074059138262,1,school|establishment|point_of_interest
177,15.503344605207992,101.41874180618436,8,school|establishment|point_of_interest
178,15.503344605207992,101.44674200865131,9,school|establishment|point_of_interest
179,15.503344605207992,101.50274241358522,2,establishment|store|point_of_interest|grocery_or_supermarket|food
182,15.503344605207992,101.95074565305652,8,establishment|point_of_interest|hospital
183,15.503344605207992,101.97874585552347,1,school|establishment|point_of_interest
185,15.503344605207992,102.0907466653913,14,school|establishment|point_of_interest
186,15.503344605207992,102.17474727279216,2,school|establishment|point_of_interest
199,15.503344605207992,102.87475233446617,3,school|establishment|point_of_interest
203,15.476364957835647,102.14662090323259,8,school|establishment|point_of_interest
204,15.476364957835647,102.17461744863044,6,school|establishment|point_of_interest
211,15.449385310463088,101.53065128242167,3,school|establishment|point_of_interest
220,15.449385310463088,102.84631737045709,3,school|establishment|point_of_interest
222,15.422405663090316,101.19473471695278,2,school|establishment|point_of_interest
223,15.422405663090316,101.61457350804199,3,establishment|point_of_interest|hospital
238,15.395426015717343,101.61451715805208,6,school|establishment|point_of_interest
240,15.395426015717343,101.95034456374117,1,school|establishment|point_of_interest
241,15.395426015717343,101.97833018088193,3,school|establishment|point_of_interest
242,15.395426015717343,102.09027264944496,1,establishment|home_goods_store|store|point_of_interest
253,15.368446368344152,101.58647893016655,1,school|establishment|point_of_interest
269,15.341466720970756,101.50249132085173,1,school|establishment|point_of_interest
270,15.341466720970756,101.58642642300231,1,school|establishment|point_of_interest
271,15.341466720970756,101.61440479038583,1,school|establishment|point_of_interest
272,15.341466720970756,101.69833989253641,9,school|establishment|point_of_interest
274,15.341466720970756,101.89418846422109,1,school|establishment|point_of_interest
276,15.341466720970756,102.17397213805634,28,school|establishment|point_of_interest
277,15.341466720970756,102.20195050543987,2,school|establishment|point_of_interest
290,15.314487073597153,101.47447500649264,3,establishment|store|point_of_interest|grocery_or_supermarket|food
306,15.287507426223344,101.64226401153383,1,school|establishment|point_of_interest
308,15.287507426223344,101.75414859626744,4,school|establishment|point_of_interest
309,15.287507426223344,101.81009088863425,5,school|establishment|point_of_interest
310,15.287507426223344,101.83806203481765,2,school|establishment|point_of_interest
328,15.260527778849323,101.53033442980518,1,school|establishment|point_of_interest
330,15.260527778849323,101.69813970749283,5,school|establishment|point_of_interest
331,15.260527778849323,101.75407480005538,3,school|establishment|point_of_interest
338,15.260527778849323,102.59310118849362,8,school|establishment|point_of_interest
