id,lat,lon,placeCount,place,address
737,14.720934831326185,101.69683535869933,2,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Makluea Mai, Amphoe Sung Noen, Chang Wat Nakhon Ratchasima 30170, Thailand"
787,14.666975536569465,101.66881765608287,8,school|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Khlong Muang, Amphoe Pak Chong, Chang Wat Nakhon Ratchasima 30130, Thailand"
811,14.639995889190812,101.61298409557128,13,supermarket|establishment|store|point_of_interest|hospital|grocery_or_supermarket|food,"24 หมู่ 16 ต.คลองม่วง Amphoe Pak Chong, Chang Wat Nakhon Ratchasima 30130, Thailand"
845,14.586036594432919,101.72439729080497,12,establishment|store|point_of_interest|hospital,"Unnamed Road, Tambon Raroeng, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30150, Thailand"
846,14.586036594432919,101.86379655883604,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Lam Nang Kaeo, Amphoe Pak Thong Chai, Chang Wat Nakhon Ratchasima 30150, Thailand"
866,14.559056947053662,102.08672436925099,5,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food,"นม.3115 Tambon Khon Buri, Amphoe Khon Buri, Chang Wat Nakhon Ratchasima 30250, Thailand"
877,14.532077299674228,101.25042272051883,4,school|establishment|store|point_of_interest|grocery_or_supermarket|food,"Yothathikan Nakhon Ratchasima Ban Non Kradon-ban Sap Tai Rd, Tambon Phaya Yen, Amphoe Pak Chong, Chang Wat Nakhon Ratchasima 30320, Thailand"
947,14.424158710154524,101.38968612653252,1,local_government_office|establishment|point_of_interest,"Soi 3182, Tambon Mu Si, Amphoe Pak Chong, Chang Wat Nakhon Ratchasima, Thailand"
964,14.397179062774113,101.86321433263208,19,lodging|spa|school|liquor_store|restaurant|establishment|store|point_of_interest|food,"Thanon Kabin Buri - Pak Thong Chai, Tambon Wang Nam Khiao, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30370, Thailand"
965,14.397179062774113,101.89107042140313,5,lodging|spa|school|liquor_store|restaurant|establishment|store|point_of_interest|food,"Unnamed Road, Tambon Thai Samakkhi, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30370, Thailand"
966,14.397179062774113,101.91892651017417,2,supermarket|establishment|store|point_of_interest|grocery_or_supermarket|food,Unnamed Rd ตำบล ไทยสามัคคี อำเภอ วังน้ำเขียว จังหวัด นครราชสีมา 30370 Thailand
977,14.37019941539351,101.72386823450597,2,school|local_government_office|establishment|point_of_interest,"นม.3052 Tambon Wang Mi, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30370, Thailand"
978,14.37019941539351,101.77957367809745,4,school|establishment|point_of_interest|store|grocery_or_supermarket|food,"Unnamed Road, Tambon Wang Nam Khiao, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30370, Thailand"
979,14.37019941539351,101.91883728707626,17,furniture_store|school|establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Thai Samakkhi, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima 30370, Thailand"
992,14.343219768012718,101.27821292756494,7,establishment|store|point_of_interest,"Unnamed Road, Tambon Sarika, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand"
993,14.343219768012718,101.83520016373791,1,establishment|store|point_of_interest,"Unnamed Road, Tambon Bu Phram, Amphoe Na Di, Chang Wat Prachin Buri 25220, Thailand"
1018,14.316240120631731,102.92111571333498,9,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food,"Unnamed Road, Tambon Nong Waeng, Amphoe Lahan Sai, Chang Wat Buri Ram 31170, Thailand"
1026,14.262280825869185,102.94853722371693,4,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Nong Waeng, Amphoe Lahan Sai, Chang Wat Buri Ram 31170, Thailand"
1046,14.15436223634181,101.77899997390261,4,establishment|point_of_interest|home_goods_store|store|hospital,"Unnamed Road, Tambon Na Di, Amphoe Na Di, Chang Wat Prachin Buri 25220, Thailand"
1049,14.15436223634181,102.94769353761751,1,school|establishment|point_of_interest,"Unnamed Road, Cambodia"
1055,14.127382588959494,101.7232834687785,2,school|establishment|store|point_of_interest,"Talad, Tambon Saphan Hin, Amphoe Na Di, Chang Wat Prachin Buri 25220, Thailand"
1056,14.127382588959494,101.80675166779554,1,establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Na Di, Amphoe Na Di, Chang Wat Prachin Buri 25220, Thailand"
1057,14.127382588959494,102.8640155220113,4,school|establishment|point_of_interest|store,"Unnamed Road, Tambon Thap Thai, Amphoe Ta Phraya, Chang Wat Sa Kaeo 27180, Thailand"
