id,lat,lng,placeCount,place
2,15.80012072628986,101.3069241340902,2,establishment|home_goods_store|store|point_of_interest
3,15.80012072628986,101.44712865480426,1,establishment|store|point_of_interest
4,15.80012072628986,101.5312513672327,1,school|establishment|point_of_interest
5,15.80012072628986,101.58733317551832,1,school|establishment|point_of_interest
7,15.80012072628986,101.9238240252322,6,establishment|point_of_interest|hospital
8,15.80012072628986,101.951864929375,2,establishment|point_of_interest|hospital
12,15.80012072628986,102.26031487494595,6,establishment|point_of_interest|hospital
13,15.80012072628986,102.28835577908876,1,school|establishment|point_of_interest
14,15.80012072628986,102.34443758737439,2,establishment|point_of_interest|hospital
16,15.80012072628986,102.68092843708837,2,school|establishment|point_of_interest
17,15.80012072628986,102.70896934123118,2,school|establishment|point_of_interest
18,15.80012072628986,102.84917386194525,2,school|establishment|point_of_interest
19,15.80012072628986,102.90525567023087,4,school|establishment|point_of_interest
21,15.773141078919853,101.53120466731866,5,establishment|point_of_interest|hospital
23,15.773141078919853,101.64335333934059,1,school|establishment|point_of_interest
24,15.773141078919853,101.67139050734613,1,school|establishment|point_of_interest
25,15.773141078919853,101.83961351537937,2,school|establishment|point_of_interest
26,15.773141078919853,101.92372501939599,27,establishment|point_of_interest|hospital
32,15.773141078919853,102.40035687548959,4,establishment|point_of_interest|hospital
33,15.773141078919853,102.56857988352249,5,school|establishment|point_of_interest
34,15.773141078919853,102.62465421953357,5,establishment|point_of_interest|hospital
35,15.773141078919853,102.65269138753911,3,cafe|establishment|store|point_of_interest|food
36,15.773141078919853,102.68072855554465,3,establishment|point_of_interest|hospital
37,15.773141078919853,102.70876572355019,8,school|establishment|point_of_interest
38,15.773141078919853,102.73680289155573,9,school|establishment|point_of_interest
39,15.773141078919853,102.84895156357766,1,school|establishment|point_of_interest
40,15.773141078919853,102.87698873158308,2,school|establishment|point_of_interest
42,15.746161431549625,101.72739213108503,1,school|establishment|point_of_interest
44,15.746161431549625,101.83952588739953,1,school|establishment|point_of_interest
45,15.746161431549625,101.95165964371404,1,school|establishment|point_of_interest
48,15.746161431549625,102.09182683910717,4,establishment|point_of_interest|hospital
49,15.746161431549625,102.26002747357893,25,establishment|point_of_interest|hospital
50,15.746161431549625,102.28806091265756,3,establishment|store|point_of_interest
51,15.746161431549625,102.31609435173618,3,school|establishment|point_of_interest
52,15.746161431549625,102.42822810805069,8,school|establishment|point_of_interest
53,15.746161431549625,102.62446218160107,3,establishment|store|point_of_interest
54,15.746161431549625,102.6524956206797,1,school|establishment|point_of_interest
55,15.746161431549625,102.70856249883695,3,school|establishment|point_of_interest
56,15.746161431549625,102.93283001146597,9,establishment|store|point_of_interest|clothing_store
57,15.746161431549625,102.98889688962322,3,establishment|point_of_interest|hospital
58,15.746161431549625,103.01693032870185,2,school|establishment|point_of_interest
59,15.71918178417919,101.44702238575167,1,school|establishment|point_of_interest
61,15.71918178417919,101.8954978634772,2,school|establishment|point_of_interest
62,15.71918178417919,102.06367616762418,4,school|establishment|point_of_interest
63,15.71918178417919,102.2038247544134,1,establishment|store|point_of_interest|grocery_or_supermarket|food
64,15.71918178417919,102.51215164534972,4,school|establishment|point_of_interest
66,15.71918178417919,102.68032994949681,1,school|establishment|point_of_interest
68,15.71918178417919,102.8485082536439,5,school|establishment|point_of_interest
70,15.71918178417919,102.98865684043324,2,supermarket|establishment|store|point_of_interest|grocery_or_supermarket|food
71,15.71918178417919,103.01668655779099,1,school|establishment|point_of_interest
72,15.692202136808534,101.2788310825863,7,establishment|point_of_interest|hospital
74,15.692202136808534,101.72724712800209,1,school|establishment|point_of_interest
76,15.692202136808534,101.86737714219453,17,establishment|point_of_interest|hospital
79,15.692202136808534,102.09158516490243,10,school|establishment|point_of_interest
81,15.692202136808534,102.20368917625638,6,school|establishment|point_of_interest
82,15.692202136808534,102.31579318761032,4,school|establishment|point_of_interest
83,15.692202136808534,102.34381919044881,8,school|establishment|point_of_interest
84,15.692202136808534,102.42789719896427,2,school|establishment|point_of_interest
85,15.692202136808534,102.45592320180276,2,school|establishment|point_of_interest
86,15.692202136808534,102.48394920464125,1,school|establishment|point_of_interest
87,15.692202136808534,102.54000121031822,2,school|establishment|point_of_interest
88,15.692202136808534,102.5960532159952,3,school|establishment|point_of_interest
92,15.692202136808534,102.96039125289553,9,establishment|point_of_interest|hospital
96,15.665222489437664,101.83926401907695,1,school|establishment|point_of_interest
97,15.665222489437664,101.92333090562511,5,establishment|point_of_interest|hospital
100,15.665222489437664,102.2876207473339,6,school|establishment|point_of_interest
101,15.665222489437664,102.31564304284984,2,school|establishment|point_of_interest
