id,lat,lon,placeCount,place,address
2,15.80012072628986,101.3069241340902,2,establishment|home_goods_store|store|point_of_interest,"225, Tambon Yang Sao, Amphoe Wichian Buri, Chang Wat Phetchabun 67130, Thailand"
3,15.80012072628986,101.44712865480426,1,establishment|store|point_of_interest,"Unnamed Road, Tambon Pong Nok, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
13,15.80012072628986,102.28835577908876,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Sa-at, Amphoe Khon Sawan, Chang Wat Chaiyaphum 36140, Thailand"
23,15.773141078919853,101.64335333934059,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Wang Takhe, Amphoe Nong Bua Rawe, Chang Wat Chaiyaphum 36250, Thailand"
24,15.773141078919853,101.67139050734613,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Sa-at, Amphoe Nong Bua Rawe, Chang Wat Chaiyaphum 36250, Thailand"
25,15.773141078919853,101.83961351537937,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Talat Raeng, Amphoe Ban Khwao, Chang Wat Chaiyaphum 36170, Thailand"
42,15.746161431549625,101.72739213108503,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Sok Pla Duk, Amphoe Nong Bua Rawe, Chang Wat Chaiyaphum 36250, Thailand"
44,15.746161431549625,101.83952588739953,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Talat Raeng, Amphoe Ban Khwao, Chang Wat Chaiyaphum 36170, Thailand"
48,15.746161431549625,102.09182683910717,4,establishment|store|point_of_interest|hospital,"Unnamed Road, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36240, Thailand"
56,15.746161431549625,102.93283001146597,9,establishment|store|point_of_interest|clothing_store,"บร.5030 Tambon Don Kok, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
58,15.746161431549625,103.01693032870185,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Chueak, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
59,15.71918178417919,101.44702238575167,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Yang Klak, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
62,15.71918178417919,102.06367616762418,4,pet_store|school|establishment|store|point_of_interest,"Moo.3, Tambon Nong Phai, Amphoe Mueang Chaiyaphum, Chaiyaphum, 36000, Thailand"
64,15.71918178417919,102.51215164534972,4,cafe|school|establishment|point_of_interest|store|food,"Unnamed Road, Tambon Non Chan, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
66,15.71918178417919,102.68032994949681,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Phet, Amphoe Prathai, Chang Wat Nakhon Ratchasima 30180, Thailand"
68,15.71918178417919,102.8485082536439,5,school|establishment|point_of_interest|store,"Unnamed Road, Tambon Takua Pa, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
79,15.692202136808534,102.09158516490243,10,school|establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Nong Phai, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36240, Thailand"
84,15.692202136808534,102.42789719896427,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Chan, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
85,15.692202136808534,102.45592320180276,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Chan, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
86,15.692202136808534,102.48394920464125,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Chan, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
87,15.692202136808534,102.54000121031822,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Bua Lai, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
88,15.692202136808534,102.5960532159952,3,school|establishment|point_of_interest|store|clothing_store,"Rural Rd, Tambon Nong Wa, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
97,15.665222489437664,101.92333090562511,5,establishment|store|point_of_interest|hospital,"Unnamed Road, Tambon Lum Lam Chi, Amphoe Ban Khwao, Chang Wat Chaiyaphum 36170, Thailand"
105,15.665222489437664,102.8200443621389,1,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Dong Keng, Amphoe Nong Song Hong, Chang Wat Khon Kaen 40190, Thailand"
110,15.63824284206658,101.41889813702892,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Ban Rai, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
116,15.63824284206658,102.62369773863247,1,establishment|store|point_of_interest,"Unnamed Road, Tambon Han Huai Sai, Amphoe Prathai, Chang Wat Nakhon Ratchasima 30180, Thailand"
123,15.611263194695283,101.95114989526041,2,cafe|establishment|store|point_of_interest|food,"Unnamed Road, Tambon Lahan, Amphoe Chatturat, Chang Wat Chaiyaphum 36130, Thailand"
136,15.611263194695283,102.76358206614441,5,school|establishment|point_of_interest,"3, ตำบลหนองค่าย อำเภอประทาย จังหวัดนครราชสีมา, 30180 30180, Thailand"
141,15.584283547323787,101.22275690486617,1,pharmacy|health|establishment|store|point_of_interest,"Unnamed Road, Tambon Bo Rang, Amphoe Wichian Buri, Chang Wat Phetchabun 67130, Thailand"
142,15.584283547323787,101.58690272178228,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Sap Yai, Amphoe Sap Yai, Chang Wat Chaiyaphum 36130, Thailand"
143,15.584283547323787,101.64292515515399,2,furniture_store|school|establishment|point_of_interest|home_goods_store|store,"2069, Tambon Ta Ko Thong, Amphoe Sap Yai, Chang Wat Chaiyaphum 36130, Thailand"
165,15.530324252580138,101.25074975017799,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Sanun, Amphoe Si Thep, Chang Wat Phetchabun 67170, Thailand"
168,15.530324252580138,101.89483868431535,9,school|establishment|store|point_of_interest,"Unnamed Road, Tambon Nong Bua Yai, Amphoe Chatturat, Chang Wat Chaiyaphum 36130, Thailand"
176,15.503344605207992,101.25074059138262,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Sanun, Amphoe Si Thep, Chang Wat Phetchabun 67170, Thailand"
179,15.503344605207992,101.50274241358522,2,establishment|store|point_of_interest|grocery_or_supermarket|food,"ชย.3028 Tambon Huai Yai Chio, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
182,15.503344605207992,101.95074565305652,8,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Rang Ngam, Amphoe Noen Sa-nga, Chang Wat Chaiyaphum 36130, Thailand"
